,_id,category_1,category_2,category_3,category_4,category_6,value,timestamp
0,5e744d437c5ad20006a15bce,industry_3_client_1107,gateway_instance_1,device_instance_366,block_1,sensor_183,"{'tag_1338': 0.0, 'tag_1337': 0.0, 'tag_1336': 0.0, 'tag_1335': 0.0, 'tag_1334': 0.0, 'tag_1333': 0.0, 'tag_1332': 113380.265625, 'tag_1331': 48049.15234375, 'tag_1330': 3144.860595703125, 'tag_1329': 0.0, 'tag_1328': 0.0, 'tag_1339': 164574.28125, 'tag_279': 40.62961959838867, 'tag_1212': 0.0, 'tag_277': 0.0, 'tag_276': 40.62961959838867, 'tag_271': 0.0, 'tag_270': 0.0, 'tag_269': 0.0, 'tag_268': 0.0, 'tag_1327': -3.59722595007223e-28, 'tag_1326': 1.987304804496482e-14, 'tag_1325': 128662.0, 'tag_316': 5542372.0, 'tag_1679': 111957.6171875, 'tag_1678': 47649.39453125, 'tag_1677': 3112.619873046875, 'tag_293': 162719.640625, 'tag_1239': 49.93239974975586, 'tag_1238': 0.34409499168395996, 'tag_1237': 0.0, 'tag_1236': 0.0, 'tag_288': 0.11469832807779312, 'tag_1235': 241.37265014648438, 'tag_1234': 241.28915405273438, 'tag_1233': 240.86740112304688, 'tag_284': 241.1763916015625, 'tag_283': 0.0, 'tag_1232': 0.0, 'tag_1231': 0.0, 'tag_280': 0.0, 'tag_275': 0.9932814836502075, 'tag_274': 1.0, 'tag_273': 1.0, 'tag_272': 0.9932814836502075, 'tag_267': 40.356651306152344, 'tag_266': 0.0, 'tag_265': 0.0, 'tag_264': 40.356651306152344}",1608635820000
1,5e744d457c5ad20006a15bcf,industry_3_client_1107,gateway_instance_1,device_instance_367,block_2,sensor_183,"{'tag_1338': 0.0, 'tag_1337': 0.0, 'tag_1336': 0.0, 'tag_1335': 0.0, 'tag_1334': 0.0, 'tag_1333': 0.0, 'tag_1332': 66819.8203125, 'tag_1331': 68300.4921875, 'tag_1330': 228.2154541015625, 'tag_1329': 0.0, 'tag_1328': 0.0, 'tag_1339': 135348.53125, 'tag_279': 0.0, 'tag_1212': 0.0, 'tag_277': 0.0, 'tag_276': 0.0, 'tag_271': 0.0, 'tag_270': 0.0, 'tag_269': 0.0, 'tag_268': 0.0, 'tag_1327': 3970937.0, 'tag_1326': 3162552.0, 'tag_1325': 24778.0, 'tag_316': 3970937.0, 'tag_1679': 65873.0625, 'tag_1678': 67630.1796875, 'tag_1677': 215.49168395996094, 'tag_293': 133718.734375, 'tag_1239': 49.941131591796875, 'tag_1238': 0.0, 'tag_1237': 0.0, 'tag_1236': 0.0, 'tag_288': 0.0, 'tag_1235': 241.47569274902344, 'tag_1234': 241.3948974609375, 'tag_1233': 240.96728515625, 'tag_284': 241.279296875, 'tag_283': 0.0, 'tag_1232': 0.0, 'tag_1231': 0.0, 'tag_280': 0.0, 'tag_275': 1.0, 'tag_274': 1.0, 'tag_273': 1.0, 'tag_272': 1.0, 'tag_267': 0.0, 'tag_266': 0.0, 'tag_265': 0.0, 'tag_264': 0.0}",1608635820000
2,5e744d467c5ad20006a15bd0,industry_3_client_1107,gateway_instance_1,device_instance_368,block_3,sensor_183,"{'tag_1338': 0.0, 'tag_1337': 0.0, 'tag_1336': 0.0, 'tag_1335': 0.0, 'tag_1334': 0.0, 'tag_1333': 0.0, 'tag_1332': 0.2583760619163513, 'tag_1331': 0.10863003134727478, 'tag_1330': 0.5700657963752747, 'tag_1329': 0.0, 'tag_1328': 0.0, 'tag_1339': 0.9370718598365784, 'tag_279': 0.0, 'tag_1212': 0.0, 'tag_277': 0.0, 'tag_276': 0.0, 'tag_271': 0.0, 'tag_270': 0.0, 'tag_269': 0.0, 'tag_268': 0.0, 'tag_1327': 39.0, 'tag_1326': 33.0, 'tag_1325': 184.0, 'tag_316': 184.0, 'tag_1679': 0.2306750863790512, 'tag_1678': 0.07141346484422684, 'tag_1677': 0.39487224817276, 'tag_293': 0.6969608068466187, 'tag_1239': 49.948490142822266, 'tag_1238': 0.0, 'tag_1237': 0.0, 'tag_1236': 0.0, 'tag_288': 0.0, 'tag_1235': 241.48194885253906, 'tag_1234': 241.3987579345703, 'tag_1233': 240.97177124023438, 'tag_284': 241.28416442871094, 'tag_283': 0.0, 'tag_1232': 0.0, 'tag_1231': 0.0, 'tag_280': 0.0, 'tag_275': 1.0, 'tag_274': 1.0, 'tag_273': 1.0, 'tag_272': 1.0, 'tag_267': 0.0, 'tag_266': 0.0, 'tag_265': 0.0, 'tag_264': 0.0}",1608635820000
3,5e744d477c5ad20006a15bd1,industry_3_client_1107,gateway_instance_1,device_instance_369,block_4,sensor_183,"{'tag_1338': 0.0, 'tag_1337': 0.0, 'tag_1336': 0.0, 'tag_1335': 0.0, 'tag_1334': 0.0, 'tag_1333': 0.0, 'tag_1332': 0.0663110539317131, 'tag_1331': 91810.734375, 'tag_1330': 0.5497152209281921, 'tag_1329': 0.0, 'tag_1328': 0.0, 'tag_1339': 91811.3515625, 'tag_279': 0.0, 'tag_1212': 0.0, 'tag_277': 0.0, 'tag_276': 0.0, 'tag_271': 0.0, 'tag_270': 0.0, 'tag_269': 0.0, 'tag_268': 0.0, 'tag_1327': 17.0, 'tag_1326': 5501238.0, 'tag_1325': 258.0, 'tag_316': 5501238.0, 'tag_1679': 0.046518534421920776, 'tag_1678': 90373.9609375, 'tag_1677': 0.3152637779712677, 'tag_293': 90374.3203125, 'tag_1239': 49.94696807861328, 'tag_1238': 0.0, 'tag_1237': 0.0, 'tag_1236': 0.0, 'tag_288': 0.0, 'tag_1235': 241.47109985351562, 'tag_1234': 241.39166259765625, 'tag_1233': 240.9657440185547, 'tag_284': 241.2761688232422, 'tag_283': 0.0, 'tag_1232': 0.0, 'tag_1231': 0.0, 'tag_280': 0.0, 'tag_275': 1.0, 'tag_274': 1.0, 'tag_273': 1.0, 'tag_272': 1.0, 'tag_267': 0.0, 'tag_266': 0.0, 'tag_265': 0.0, 'tag_264': 0.0}",1608635820000
4,5fcf4155a33e960007e87723,industry_3_client_1107,gateway_instance_10022,device_instance_10044,block_1,sensor_10036,"{'tag_1247': 0.0, 'tag_1359': 93.0, 'tag_316': 326781.0, 'tag_300': 0.0, 'tag_299': 0.0, 'tag_298': 0.0, 'tag_297': 0.0, 'tag_296': 0.0, 'tag_295': 0.0, 'tag_294': 604324.5, 'tag_293': 401613.3125, 'tag_1239': 49.92121505737305, 'tag_1238': 5.424646377563477, 'tag_1237': 5.160086631774902, 'tag_1236': 5.17048454284668, 'tag_288': 5.251739501953125, 'tag_1235': 234.06512451171875, 'tag_1234': 235.69467163085938, 'tag_1233': 241.16973876953125, 'tag_284': 236.9765167236328, 'tag_283': 411.10723876953125, 'tag_1232': 408.5840759277344, 'tag_1231': 412.0953063964844, 'tag_280': 410.5955505371094, 'tag_279': 1273.2674560546875, 'tag_1212': 1218.0770263671875, 'tag_277': 1242.614013671875, 'tag_276': 119.6103286743164, 'tag_275': 0.47880685329437256, 'tag_274': -0.543029248714447, 'tag_273': 0.9990000128746033, 'tag_272': 0.23966392874717712, 'tag_271': -1117.8272705078125, 'tag_270': 1022.8360595703125, 'tag_269': -21.133237838745117, 'tag_268': -116.12439727783203, 'tag_267': 609.6491088867188, 'tag_266': 661.451416015625, 'tag_265': -1242.434326171875, 'tag_264': 28.66628074645996}",1608635820000
5,5fd1e3219ee4ef000650a284,industry_3_client_1107,gateway_instance_10025,device_instance_10046,block_1,sensor_10038,"{'tag_1247': 0.0, 'tag_1359': 54.0, 'tag_316': 442495.0, 'tag_300': 0.0, 'tag_299': 0.0, 'tag_298': 0.0, 'tag_297': 0.0, 'tag_296': 0.0, 'tag_295': 0.0, 'tag_294': 75361.34375, 'tag_293': 74676.1484375, 'tag_1239': 49.912418365478516, 'tag_1238': 1.64551842212677, 'tag_1237': 1.3711981773376465, 'tag_1236': 1.1373422145843506, 'tag_288': 1.3846863508224487, 'tag_1235': 236.20022583007812, 'tag_1234': 236.0370635986328, 'tag_1233': 240.97384643554688, 'tag_284': 237.737060546875, 'tag_283': 412.62481689453125, 'tag_1232': 409.93865966796875, 'tag_1231': 412.8160400390625, 'tag_280': 411.7931823730469, 'tag_279': 365.8810119628906, 'tag_1212': 316.9530944824219, 'tag_277': 268.1737060546875, 'tag_276': 948.3504638671875, 'tag_275': -0.9966144561767578, 'tag_274': 0.9967104196548462, 'tag_273': -0.9975406527519226, 'tag_272': 0.9990000128746033, 'tag_271': 30.0816593170166, 'tag_270': -25.68773651123047, 'tag_269': 18.796436309814453, 'tag_268': 23.19036102294922, 'tag_267': 364.642333984375, 'tag_266': 315.9104309082031, 'tag_265': 267.51416015625, 'tag_264': 948.0669555664062}",1608635820000
6,5fe09431035d970007546106,industry_3_client_1107,gateway_instance_10029,device_instance_10050,block_1,sensor_10042,"{'tag_1247': 0.0, 'tag_1359': 153.0, 'tag_316': 278124.0, 'tag_300': 0.0, 'tag_299': 0.0, 'tag_298': 0.0, 'tag_297': 0.0, 'tag_296': 0.0, 'tag_295': 0.0, 'tag_294': 448056.9375, 'tag_293': 444814.9375, 'tag_1239': 49.914276123046875, 'tag_1238': 0.0, 'tag_1237': 0.0, 'tag_1236': 0.0, 'tag_288': 0.0, 'tag_1235': 0.0, 'tag_1234': 113.9420166015625, 'tag_1233': 114.50343322753906, 'tag_284': 76.14848327636719, 'tag_283': 114.56578826904297, 'tag_1232': 113.93939971923828, 'tag_1231': 228.4058074951172, 'tag_280': 152.3036651611328, 'tag_279': 0.0, 'tag_1212': 0.0, 'tag_277': 0.0, 'tag_276': 0.0, 'tag_275': 1.0, 'tag_274': 1.0, 'tag_273': 1.0, 'tag_272': 1.0, 'tag_271': 0.0, 'tag_270': 0.0, 'tag_269': 0.0, 'tag_268': 0.0, 'tag_267': 0.0, 'tag_266': 0.0, 'tag_265': 0.0, 'tag_264': 0.0}",1608635820000
